지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22184,2014-03-23,,,,,,,,.9,1.4,,5.3
22184,2014-03-24,,,,,,,,.8,1.3,,4.6
22184,2014-03-25,5.6,1015.3,93,12.6,12.2,1.2,.7,1,1.7,4.2,4.9
22184,2014-03-26,4.5,1011.2,,10.8,11.8,1.4,.8,1,1.8,4.7,6.4
22184,2014-03-27,,1018,88,9,12.7,,,.7,1.1,,7.1
22184,2014-03-28,3.7,1017.1,82,13,12.9,.8,.5,1,1.7,4.7,8
22184,2014-03-29,3.5,1007,,12.7,12.5,1.7,1.1,1.5,2.5,5.3,8
22184,2014-03-30,,,,,,,,1.6,2.6,,7.1
22184,2014-03-31,2.4,1017.1,88,11.6,12.9,1,.6,1,1.5,5,6.4
22184,2014-04-01,1.7,1016.5,87,12.2,13,.5,.3,.5,.7,4.6,8
22184,2014-04-02,1.3,1017.4,77,12.7,13,.4,.2,.3,.6,4.4,8
22184,2014-04-03,,1015.3,76,10.7,13.3,,,2,3.7,,7.1
22184,2014-04-04,5.9,1015.6,61,8.5,12.7,2.5,1.6,2.7,4.6,5.5,7.1
22184,2014-04-05,7.8,1016.7,68,9,12.7,2.5,1.6,2.7,4.2,5.1,6.4
22184,2014-04-06,6.6,1023.4,58,8.3,12.7,2.6,1.6,2.4,4.9,5.3,7.1
22184,2014-04-07,3.1,1020.9,69,10.8,12.9,.9,.6,.7,1.2,4.3,4.9
22184,2014-04-08,1.8,1018.5,77,11.8,13.3,.7,.4,.5,.9,4,4.9
22184,2014-04-09,3,1018.1,84,11.2,13.5,.5,.3,.4,.7,3.2,6.4
22184,2014-04-10,3.5,1019.2,85,10.7,13.8,.6,.4,.6,.8,2.8,3.4
22184,2014-04-11,6.3,1018.8,84,12.9,14.1,1.5,1,1.2,2.1,4.3,5.8
22184,2014-04-12,5.9,1016.5,89,13.3,14,1.3,.8,1,1.7,4.3,6.4
22184,2014-04-13,5.7,1015.6,88,12.2,13.6,1.8,1.1,1.4,2.4,5,7.1
22184,2014-04-14,2.5,1020.8,75,12.9,13.8,1.3,.9,1.2,1.8,6.2,8
22184,2014-04-15,2,1021.5,75,12.9,14.6,.5,.3,.7,.9,5.9,7.1
22184,2014-04-16,,1016.9,71,14.1,14.6,,,.7,1.2,,9.1
22184,2014-04-17,4.1,1011.5,89,13.5,13.5,1,.6,1.1,1.9,3.8,7.1
22184,2014-04-18,,,,,,,,1.4,2.1,,6.4
22184,2014-04-19,8.7,1018,74,12.6,14.2,2.8,1.8,2.7,4.3,5.7,7.1
22184,2014-04-20,6.9,1017.5,74,11.9,13.8,2.9,1.9,2.7,4.8,6.7,9.1
22184,2014-04-21,,,,,,,,.8,1.2,,7.1
22184,2014-04-22,4,1016.2,79,12.1,12.5,.9,.5,.8,1.3,3.4,4.3
22184,2014-04-23,1.4,1019,76,13.8,13.8,.4,.3,.4,.7,3.1,4.9
22184,2014-04-24,2.9,1021,84,13.6,13.1,.5,.3,.6,.9,3.6,6.4
22184,2014-04-25,3.1,1023,89,14,14.2,.6,.4,.5,.8,3.3,4.6
22184,2014-04-26,3.4,1022,87,15.1,14.6,1,.6,.8,1.3,3.5,4.9
22184,2014-04-27,4.7,1016.7,86,14.9,14.4,1.8,1.1,1.5,2.5,4.5,5.8
22184,2014-04-28,2.9,1009.5,93,13.1,14,2.1,1.3,1.8,3.2,5.6,8
22184,2014-04-29,5.5,1009,93,11.9,14.1,1.8,1.1,1.4,2.9,5.4,7.1
22184,2014-04-30,5,1011.6,83,12.4,14.3,1.3,.8,1.1,1.8,4.4,5.3
22184,2014-05-01,,,,,,,,.5,1,,4.6
22184,2014-05-02,5.6,1015.9,89,14.6,14.5,1.1,.7,.9,1.6,3.7,4.6
22184,2014-05-03,4.5,1020.4,75,11.5,,1.5,.9,1.4,2.6,5.3,6.4
22184,2014-05-04,4.8,1017,78,13.3,,1,.6,1.1,1.9,4.3,6.4
22184,2014-05-05,4.6,1020.4,57,11.9,,1,.6,.8,1.6,4,5.8
22184,2014-05-06,3.6,1020.3,58,13.3,,.8,.5,.7,1.1,3.6,5.3
22184,2014-05-07,6.4,1014.9,67,15.1,,1.4,.8,1.3,2.5,4,5.3
22184,2014-05-08,5.7,1013.3,86,13.4,,1.7,1,1.4,2.2,4.5,5.3
22184,2014-05-09,2.6,,,,,.8,.5,.8,1.2,4.1,5.8
22184,2014-05-10,,,,,,,,2.2,3.6,,6.4
22184,2014-05-11,8.7,1011.7,88,16.3,,3,1.9,2.4,3.9,5.5,6.4
22184,2014-05-12,,,,,,,,.8,1.2,,7.1
22184,2014-05-13,2.8,1010.2,85,16.1,,.9,.6,.8,1.2,4.3,5.3
22184,2014-05-14,5.7,1001.9,89,14.3,,1.4,.9,1.4,2.7,4.2,5.8
22184,2014-05-15,4.7,1004.2,87,14.1,,1.1,.7,.9,1.4,4.3,7.1
22184,2014-05-16,2.8,1010.9,83,15.6,,1,.6,.7,1.3,6.8,8
22184,2014-05-17,1.3,1013.2,82,16.4,,.7,.4,.5,.8,6.4,8
22184,2014-05-18,2.1,1013.5,80,16,,.5,.3,.4,.6,5,7.1
22184,2014-05-19,2.2,1012.4,88,16.5,,.5,.3,.4,.8,5.8,7.1
22184,2014-05-20,5.5,1006.2,94,15.7,,1.1,.7,1,1.7,4.2,5.8
22184,2014-05-21,3.4,1009.6,94,14.5,,.9,.5,.6,1.1,4.4,6.4
22184,2014-05-22,1.5,1013.2,93,15.2,,.7,.3,.4,4.1,3.9,5.8
22184,2014-05-23,4,1018.7,94,16,17.3,.8,.5,.8,1.3,3.6,6.4
22184,2014-05-24,3.6,1017.6,92,17.3,17.8,.9,.6,.8,1.3,4.5,7.1
22184,2014-05-25,6.9,1009.4,92,17.7,17.5,1.8,1.2,1.6,2.6,5.1,6.4
22184,2014-05-26,3.5,1006.5,91,16.9,17.9,1.2,.8,1.1,1.9,5,7.1
22184,2014-05-27,5.5,1004.3,89,17.7,18,1.2,.7,1.2,2,4.4,5.8
22184,2014-05-28,5.8,1003.5,88,17.7,18.1,1.5,1,1.3,2,4.8,5.8
22184,2014-05-29,1.9,1008.5,92,17,19,.8,.5,.7,1.2,4.3,4.9
22184,2014-05-30,3.1,1011.1,80,19.1,19.4,.6,.4,.4,.8,3.3,5.3
22184,2014-05-31,1.6,1013.7,91,19.5,20.5,.5,.3,.4,.8,3.5,4.9
22184,2014-06-01,1.8,1011.6,88,19.2,20.3,.7,.4,.9,1.7,3.8,4.9
22184,2014-06-02,9.3,1003.4,86,18.8,19.4,3,1.8,3,4.9,5.1,7.1
22184,2014-06-03,4.8,1002.4,92,17.9,19.1,1.8,1.2,1.8,2.7,5.6,9.1
22184,2014-06-04,5.1,1002.4,88,17.9,19.1,1.8,1.2,1.6,2.7,5.4,7.1
22184,2014-06-05,2.2,1003.9,90,18.1,19.6,1.4,.9,1.6,2.8,5.9,7.1
22184,2014-06-06,1.5,1005.6,88,18.3,20.3,.7,.5,.6,.9,5,6.4
22184,2014-06-07,1.4,1006,86,19.2,20.7,.5,.3,.4,.7,4.9,6.4
22184,2014-06-08,2,1007.7,84,18.8,20.6,.6,.4,.4,.7,4.8,6.4
22184,2014-06-09,5,1009.7,88,18.6,20.4,.9,.6,1,1.4,4,5.3
22184,2014-06-10,6.8,1009,92,18.7,20.3,1.7,1.1,1.4,2.4,4.7,5.8
22184,2014-06-11,3.6,1006.4,90,18.6,20.6,1,.6,.7,1.2,4.8,6.4
22184,2014-06-12,4.2,1004.1,88,18.4,20.6,.9,.6,.8,1.2,4.7,6.4
22184,2014-06-13,3.8,1006.5,86,19.5,20.8,.7,.5,.6,.9,4,9.1
22184,2014-06-14,1.7,1008.8,90,19.7,21.6,.6,.4,.4,.7,4.3,8
22184,2014-06-15,1.5,1008.4,92,19.6,21.8,.5,.3,.4,.6,5.9,8
22184,2014-06-16,2.2,1007.4,87,20.3,22,.6,.4,.5,.9,7,9.1
22184,2014-06-17,6.7,1004.2,89,17.9,21.4,1.6,1,1.5,2.7,4.9,7.1
22184,2014-06-18,3.2,1005.3,83,19.2,21.4,1.7,1.1,1.3,2.1,6.2,7.1
22184,2014-06-19,,,,,,,,1.2,2.2,,8
22184,2014-06-20,4.5,1007.1,92,19.4,21.5,1.1,.7,1.2,1.9,5.5,7.1
22184,2014-06-21,8.5,1006.3,90,19.1,21.2,2.3,1.5,1.8,3.4,5.4,7.1
22184,2014-06-22,1.9,1008.2,86,19.2,21.3,1.1,.7,1,1.7,5.6,6.4
22184,2014-06-23,1.8,1008.1,89,19.4,21.5,.8,.5,.6,1.2,5.5,7.1
22184,2014-06-24,3.2,1008.2,87,19.8,21.9,.8,.5,.6,1,5.2,6.4
22184,2014-06-25,1.9,1009.3,86,19.9,22,.5,.3,.5,.8,5.3,7.1
22184,2014-06-26,2.6,1007.9,86,19.7,22.2,.5,.3,.7,1.1,4.3,6.4
22184,2014-06-27,3.3,1005.4,87,20,22.2,.6,.4,.5,1,3.8,7.1
22184,2014-06-28,3.3,1005.7,89,20.3,22.2,.8,.5,.6,1,5.1,6.4
22184,2014-06-29,4.5,1007.2,89,20.5,22.5,1,.6,.8,1.3,3.9,5.8
22184,2014-06-30,3.2,1009.8,88,21,23.3,.7,.5,.7,.9,3.8,7.1
22184,2014-07-01,3.4,1011.2,82,20.9,23.5,.9,.6,.7,1.3,4,4.9
22184,2014-07-02,5.8,1006.6,83,19.6,23,1.3,.8,1.7,2.8,4.3,6.4
22184,2014-07-03,4.8,1000.5,92,19.6,22.4,1.3,.8,1.2,1.8,4.2,5.8
22184,2014-07-04,3.4,1006.8,90,19.8,22.3,1,.6,.8,1.5,5.1,6.4
22184,2014-07-05,6.3,1010.1,87,19.8,22.3,1.2,.8,1.1,1.9,4.1,6.4
22184,2014-07-06,6,1004.4,93,19.4,21.9,2,1.2,1.7,3.5,5.3,6.4
22184,2014-07-07,4,1005.4,94,19.2,21.9,1.2,.7,1,1.6,4.9,5.8
22184,2014-07-08,4.7,1005.9,95,19.8,21.5,1.1,.7,1.1,2,6.5,12.8
22184,2014-07-09,10,994.5,88,21.1,22,4.5,2.7,4,6.9,7.9,12.8
22184,2014-07-10,5.5,998.5,93,19.8,21.9,2.2,1.4,2.1,3.9,6.4,9.1
22184,2014-07-11,3.3,1003.7,91,19.8,22,1.2,.7,.9,1.5,6.9,9.1
22184,2014-07-12,1.4,1004.4,92,20,22.3,.9,.5,.7,1.1,6.5,8
22184,2014-07-13,2.5,1004.5,92,,22.1,.8,.5,.7,1.3,5.9,7.1
22184,2014-07-14,2.4,1009.5,88,,22.8,1.2,.8,1.1,1.8,6.6,7.1
22184,2014-07-15,2.5,1010.8,90,,22.4,.8,.5,.6,1.2,6.2,7.1
22184,2014-07-16,2.2,1011.1,90,,22.6,.9,.4,.5,1.1,5.4,6.4
22184,2014-07-17,4.2,1012.6,88,,23.1,1,.6,.7,1.2,4.8,6.4
22184,2014-07-18,3.9,1013.1,95,22.5,23.2,1.1,.7,.8,1.4,7.4,10.7
22184,2014-07-19,3,1013.5,94,22.6,23.8,.9,.6,.7,1.2,7.2,9.1
22184,2014-07-20,1.7,1012.1,93,22.9,24.6,.6,.4,.5,.8,5.9,7.1
22184,2014-07-21,1.3,1010,90,23.2,24.8,.5,.3,.4,.7,6.2,9.1
22184,2014-07-22,4.2,1008.8,90,24.3,25.4,.8,.5,.5,.9,3.5,8
22184,2014-07-23,3.5,1007.3,93,25.1,25.8,.9,.5,.7,1.2,7.4,12.8
22184,2014-07-24,5.1,1006.8,92,25.8,26.2,2.2,1.4,1.9,3.2,9.3,12.8
22184,2014-07-25,9,1006.4,88,25.9,25.9,3.6,2.2,3.2,6.4,7.6,9.1
22184,2014-07-26,3.1,1011.3,87,23.5,25.1,2.8,1.8,2.5,4.6,7.2,8
22184,2014-07-27,1.6,1011.5,75,22.9,25.2,1.3,.8,1.4,2.6,6.1,7.1
22184,2014-07-28,6.9,1008,87,22.9,24.8,1.5,.9,1.3,2.4,4.4,5.8
22184,2014-07-29,2.6,1009.4,92,24,25.2,.8,.5,.8,1.3,4.3,5.3
22184,2014-07-30,4.7,1010.2,93,23.8,25.7,.8,.5,.9,1.6,3.7,5.3
22184,2014-07-31,5.6,1008.3,89,24.6,25.7,1.2,.7,1,1.7,3.9,4.9
22184,2014-08-01,9.9,1002.4,88,23.8,25.3,3.3,2.1,3.8,5.7,5.7,8
22184,2014-08-02,10.4,990.8,91,23.1,23.3,4.5,2.9,4.1,6.7,6.8,9.1
22184,2014-08-03,9.3,994.5,97,21.8,23.6,3.2,2,2.5,4.1,6.3,9.1
22184,2014-08-04,6.1,1002,95,22.2,23.7,2,1.3,1.6,2.7,5.5,7.1
22184,2014-08-05,3.2,1006.3,98,22.2,23.8,1,.6,.9,1.4,6,8
22184,2014-08-06,1.3,1006.7,94,23.5,25,.8,.5,.6,1,6.6,12.8
22184,2014-08-07,,1005.6,93,23.9,25.8,,,.6,.9,,10.7
22184,2014-08-08,6.5,1005.2,87,22.8,24.1,2,1.3,1.8,3,4.8,6.4
22184,2014-08-09,3.7,1003,84,22.9,24.1,2.1,1.3,1.7,2.8,6.7,8
22184,2014-08-10,3.9,1001.1,85,22.5,24.5,1.2,.8,1,1.9,6.5,9.1
22184,2014-08-11,4.9,1003.5,83,21.5,24.5,1.2,.7,1.1,1.6,4.6,8
22184,2014-08-12,2.2,1005.7,89,22.2,24.3,.6,.4,.5,.7,7.2,9.1
22184,2014-08-13,3,1007.4,92,21.6,24.4,.6,.4,.6,1,6.2,9.1
22184,2014-08-14,4.7,1007.7,91,20,24.2,1.3,.8,1.2,1.9,4.4,7.1
22184,2014-08-15,4,1008.8,,,24.5,1.3,.8,1.1,1.7,6,9.1
22184,2014-08-16,2.9,1010.8,,,24.7,1.1,.7,1,1.6,6.4,8
22184,2014-08-17,7,1009.7,,,24.1,1.7,1.1,2.1,2.9,4.8,6.4
22184,2014-08-18,6.2,1008.4,,,24.2,2.2,1.4,1.8,2.9,6,7.1
22184,2014-08-19,1.5,1011.2,,,24.7,1.2,.7,1.1,1.7,5.7,6.4
22184,2014-08-20,2.7,1010.4,,,24.3,1,.7,.9,1.4,6.1,7.1
22184,2014-08-21,6.3,1009.5,,,24.9,2.3,1.5,2.2,3.7,6.5,8
22184,2014-08-22,1.9,1012.3,,,25.4,1,.6,1,1.5,6,7.1
22184,2014-08-23,,,,,,,,.5,.8,,6.4
22184,2014-08-24,3.8,1008.2,,,25.5,.8,.5,.9,1.2,4,5.3
22184,2014-08-25,7.2,1006.8,92,24.8,25.3,2.3,1.4,2.1,3.6,5.4,7.1
22184,2014-08-26,4.6,1012.4,87,23.9,25.4,1.5,.9,1.3,2.3,5.3,6.4
22184,2014-08-27,5,1014.8,86,23.3,25.5,1.3,.8,1.6,2.4,4.9,5.8
22184,2014-08-28,7.6,1015.8,88,21.9,25.4,2.3,1.5,1.7,3.1,5.5,6.4
22184,2014-08-29,8.4,1014.1,88,21.4,24.3,2.3,1.5,1.8,3,5.3,6.4
22184,2014-08-30,6.7,1014.1,80,22.4,24.8,1.8,1.2,1.7,2.6,5.6,6.4
22184,2014-08-31,5.5,1013.4,78,22.4,25.2,1.4,.9,1.1,1.8,5.6,7.1
22184,2014-09-01,6.3,1013.4,80,22.8,25.4,1.5,1,1.3,2.1,5,6.4
22184,2014-09-02,8.5,1009.6,87,23.7,25.2,2.6,1.7,2.2,3.3,5.8,6.4
22184,2014-09-03,6.4,1006,88,23.9,25.7,1.9,1.2,1.4,2.5,5.4,6.4
22184,2014-09-04,2.9,1009.7,78,23.3,25.2,1,.6,1,1.6,4.6,5.8
22184,2014-09-05,2,1012.6,76,23.1,25.3,.5,.3,.4,.8,4.4,5.3
22184,2014-09-06,4.5,1012.2,82,23.1,25.5,.8,.5,.7,1.2,3.5,4.6
22184,2014-09-07,2.8,1009.3,79,23.1,25.6,.7,.4,.5,.9,3.9,5.3
22184,2014-09-08,3.7,1007.9,82,23,25.6,.8,.5,.7,1.2,4.5,7.1
22184,2014-09-09,3.4,1009,83,22.8,25.7,.6,.4,.6,.9,4.9,9.1
22184,2014-09-10,4.8,1011,66,22.4,25.4,.8,.5,.8,1.2,3.2,3.8
22184,2014-09-11,4.4,1012.7,78,22.6,25.4,.9,.6,.9,1.4,3.9,5.8
22184,2014-09-12,6.3,1012.9,79,23.2,25.5,1.4,.9,1.4,2.4,4.6,5.8
22184,2014-09-13,8.2,1013,76,22.9,25.2,2.4,1.5,1.9,3.2,5.4,7.1
22184,2014-09-14,,,,,,,,2.1,3.5,,7.1
22184,2014-09-15,3.9,1014.3,74,22.4,25.5,1.3,.8,1.3,2,5.3,7.1
22184,2014-09-16,4.2,1015.3,71,22.2,25.4,1.4,.8,1,1.7,8.2,12.8
22184,2014-09-17,4.1,1015.8,67,21.9,25.1,1.4,.9,1.1,1.9,7.4,10.7
22184,2014-09-18,5.7,1016,73,21.9,25,1.8,1.1,1.5,2.8,4.9,9.1
22184,2014-09-19,6,1013.8,73,21.2,24.2,2.3,1.4,1.6,3,5.6,6.4
22184,2014-09-20,5.4,1013.3,72,21.5,24.6,1.3,.8,1.1,1.8,4.4,6.4
22184,2014-09-21,6.4,1016.1,66,22.5,25,1.9,1.2,1.4,2.4,5.1,5.8
22184,2014-09-22,7.4,1016.9,76,22.6,24.7,2.2,1.4,2.2,3.3,5.4,10.7
22184,2014-09-23,8.4,1014,85,23.3,24.5,3.8,2.4,2.8,5.1,6.9,10.7
22184,2014-09-24,7.9,1006.5,87,22.7,24.5,3,1.9,2.3,3.7,6.6,8
22184,2014-09-25,4.8,1014.1,78,21.4,24.1,1.6,1,1.5,2.3,5.2,6.4
22184,2014-09-26,5.4,1016.1,77,22,23.7,1.6,1,1.5,2.4,5.4,6.4
22184,2014-09-27,4.2,1017.1,72,22,23.9,1.2,.8,1.4,2,5.6,7.1
22184,2014-09-28,3.2,1015.5,80,22.1,23.8,.6,.3,.5,.8,4.1,7.1
22184,2014-09-29,5.6,1011.9,84,22.3,23.5,1.2,.7,1.5,2,4,5.3
22184,2014-09-30,5.8,1015.7,81,20.9,23,1.8,1.2,2,3.6,4.7,7.1
22184,2014-10-01,7.8,1016.4,77,20.9,23.1,2.9,1.8,2.1,3.5,6.1,8
22184,2014-10-02,4.4,1011.4,79,21,23,1.6,1,1.4,2.3,5.4,7.1
22184,2014-10-03,6.7,1013.2,70,18.6,22.2,2.3,1.5,1.9,3.2,4.8,6.4
22184,2014-10-04,7.5,1016.8,70,19.5,22.4,3,1.9,2.7,4.8,5.9,9.1
22184,2014-10-05,6.7,1015.8,67,18.7,22.5,3.5,2.2,2.7,4.7,6.9,9.1
22184,2014-10-06,6.6,1018,68,18.7,22.1,2.5,1.6,1.9,3.6,6.3,9.1
22184,2014-10-07,3.3,1021.8,67,18.7,21.9,1.5,1,1.4,2.8,5.8,7.1
22184,2014-10-08,3.7,1021.1,67,19,21.7,.9,.6,.9,1.5,4.8,7.1
22184,2014-10-09,5.6,1019.5,73,19.7,22,1.5,.9,1.3,1.9,5.5,7.1
22184,2014-10-10,6.5,1019.1,77,20.3,21.7,2,1.3,3.2,4.7,5.4,8
22184,2014-10-11,9,1019.9,72,20.1,21.5,4.4,2.7,3.3,5.5,7.2,9.1
22184,2014-10-12,7.5,1013.6,76,19.7,21.2,3.7,2.3,3,5,7,9.1
22184,2014-10-13,7.2,1009.2,81,19,21.1,3.9,2.6,3,5.2,7.4,9.1
22184,2014-10-14,4.8,1016.8,67,17.6,20.9,2.1,1.3,1.8,3.3,6.6,8
22184,2014-10-15,2.7,1019.2,60,16.3,20.9,1,.6,1,1.6,5.5,8
22184,2014-10-16,5.7,1021.5,59,17.4,20.7,1.8,1.2,1.7,3,4.8,7.1
22184,2014-10-17,2.9,1023.5,52,16.3,20.9,1.2,.8,1.3,2.2,5.4,8
22184,2014-10-18,2.1,1023.7,56,17.8,20.8,.5,.3,.5,.8,3.8,5.8
22184,2014-10-19,,,,,,,,.7,1.1,,4.6
22184,2014-10-20,5.5,1017.1,88,20.6,20.7,1.1,.7,.8,1.4,3.8,5.3
22184,2014-10-21,3,1013.1,94,20.4,20.9,.9,.5,.6,1.3,4.3,5.8
22184,2014-10-22,5.3,1017.4,80,17.1,20.8,2.6,1.6,2.1,3.5,6.4,9.1
22184,2014-10-23,2.2,1021.3,66,16.8,20.7,1.5,.9,1.5,2.3,6.1,8
22184,2014-10-24,.8,1021.1,67,17.5,20.8,.7,.4,.7,1,5.6,7.1
22184,2014-10-25,.9,1021.1,69,18.2,20.7,.5,.3,.4,.7,4.3,5.3
22184,2014-10-26,2.1,1019.5,78,18.7,20.9,.5,.3,.4,.7,3.8,5.3
22184,2014-10-27,6.4,1022.5,64,15.9,20.5,2,1.3,1.7,2.6,4.9,7.1
22184,2014-10-28,3.2,1025.2,63,16,20.3,1.4,.9,1.2,2.2,5.5,7.1
22184,2014-10-29,4.1,1025.6,65,17.7,20.1,.9,.5,.8,1.4,4.5,5.8
22184,2014-10-30,6.5,1023.1,75,19,20,1.4,.9,1.2,1.9,4.3,4.9
22184,2014-10-31,5.4,1016.2,90,19.1,19.6,1.7,1.1,1.3,2.4,5,5.8
22184,2014-11-01,4.4,1014.3,80,17.4,19.3,1.3,.8,1,2,4.1,5.3
22184,2014-11-02,7.3,1015.7,68,15.3,19,2.6,1.7,2.9,5.2,5.4,8
22184,2014-11-03,6.5,1020.5,55,13.7,18.8,2.9,1.8,3,4.9,6.5,8
